2015-11-19,St. John&#039;s (NY),61,Rutgers,59
2015-11-19,Texas Tech,63,Utah,73
2015-11-19,Charlotte,77,Furman,68
2015-11-19,Long Island,84,Maine,79
2015-11-19,Clemson,76,Texas Southern,56
2015-11-19,South Fla.,67,George Washington,73
2015-11-19,Georgia St.,77,Emmanuel (GA),58
2015-11-19,Georgia Tech,107,Green Bay,77
2015-11-19,Massachusetts,89,Central Ark.,62
2015-11-19,Seton Hall,77,Long Beach St.,80
2015-11-19,Albany (NY),88,Colgate,67
2015-11-19,Mercer,70,Alabama St.,49
2015-11-19,Lehigh,67,Yale,79
2015-11-19,St. Peter&#039;s,66,Hartford,67
2015-11-19,Holy Cross,69,New Hampshire,73
2015-11-19,Northwestern St.,64,La.-Monroe,80
2015-11-19,NJIT,90,Boston U.,76
2015-11-19,Nicholls St.,80,Mobile,58
2015-11-19,S.C. Upstate,55,Navy,67
2015-11-19,Alabama A&amp;M,74,Southeast Mo. St.,56
2015-11-19,Valparaiso,89,Trinity Christian,42
2015-11-19,TCU,90,Houston Baptist,63
2015-11-19,Southern U.,90,Tulane,82
2015-11-19,Memphis,83,Grambling,65
2015-11-19,Vanderbilt,79,Stony Brook,72
2015-11-19,Illinois St.,67,South Dakota St.,83
2015-11-19,Gardner-Webb,125,Toccoa Falls,79
2015-11-19,Texas A&amp;M,95,A&amp;M-Corpus Chris,70
2015-11-19,Troy,63,UAB,79
2015-11-19,Nebraska,75,Delaware St.,60
2015-11-19,Arizona,88,Boise St.,76
2015-11-19,New Orleans,94,Pensacola Christian,57
2015-11-19,Wyoming,83,N.M. Highlands,67
2015-11-19,Colorado St.,83,Loyola Marymount,75
2015-11-19,Weber St.,90,Antelope Valley,47
2015-11-19,LSU,78,South Ala.,66
2015-11-19,Grand Canyon,79,Alcorn St.,46
2015-11-19,Air Force,65,Mississippi Val.,64
2015-11-19,Marquette,61,Iowa,89
2015-11-19,Rice,69,Oregon St.,77
2015-11-19,Bradley,57,Virginia,82
2015-11-19,UC Riverside,77,Santa Clara,63
2015-11-19,Fresno St.,78,San Francisco,71
2015-11-19,Washington,100,Mt. St. Mary&#039;s,67
2015-11-19,UCLA,81,Pepperdine,67
2015-11-19,Stanford,70,SMU,85
2015-11-20,Missouri St.,69,Minnesota,74
2015-11-20,Eastern Mich.,79,Siena Heights,34
2015-11-20,Butler,74,Temple,69
2015-11-20,Tulsa,90,Ohio,88
2015-11-20,UT Martin,66,Oral Roberts,70
2015-11-20,Oklahoma St.,68,George Mason,71
2015-11-20,Bakersfield,81,Fresno Pacific,68
2015-11-20,Florida St.,77,Hofstra,82
2015-11-20,James Madison,64,FIU,61
2015-11-20,Towson,60,Ole Miss,76
2015-11-20,Radford,62,Siena,76
2015-11-20,Georgetown,71,Wisconsin,61
2015-11-20,Texas Tech,74,Mississippi St.,72
2015-11-20,Northeastern,60,Fla. Atlantic,58
2015-11-20,South Carolina,76,DePaul,61
2015-11-20,Eastern Ky.,89,Ball St.,81
2015-11-20,Howard,106,Medgar Evers,64
2015-11-20,Hampton,82,Appalachian St.,61
2015-11-20,West Virginia,103,Stetson,62
2015-11-20,Jacksonville,81,Florida Col.,63
2015-11-20,Maryland,65,Rider,58
2015-11-20,Bradley,59,Seton Hall,67
2015-11-20,Georgia,63,Murray St.,52
2015-11-20,Bryant,71,Prairie View,58
2015-11-20,Miami (OH),70,Lipscomb,68
2015-11-20,Utah,66,Miami (FL),90
2015-11-20,Winthrop,80,Jacksonville St.,69
2015-11-20,Villanova,86,East Tenn. St.,51
2015-11-20,Duquesne,78,Penn St.,52
2015-11-20,Michigan St.,92,Ark.-Pine Bluff,46
2015-11-20,Iona,92,Delaware,77
2015-11-20,Ohio St.,68,Texas-Arlington,73
2015-11-20,VCU,71,Duke,79
2015-11-20,Northwestern,83,Columbia,80
2015-11-20,Alabama,105,Louisiana,93
2015-11-20,Baylor,77,Jackson St.,60
2015-11-20,Pittsburgh,95,Detroit,79
2015-11-20,Oklahoma,85,McNeese St.,56
2015-11-20,Milwaukee,85,Trinity Int&#039;l,61
2015-11-20,Kansas St.,93,South Dakota,72
2015-11-20,UTRGV,78,Tex. A&amp;M-Kingsville,56
2015-11-20,Kentucky,78,Wright St.,63
2015-11-20,Arkansas,93,Charleston So.,75
2015-11-20,Norfolk St.,61,Indiana St.,70
2015-11-20,Longwood,77,South Carolina St.,83
2015-11-20,Utah Valley,104,Antelope Valley,60
2015-11-20,Northern Ariz.,90,Embry-Riddle (FL),57
2015-11-20,Utah St.,73,Union (TN),49
2015-11-20,Colorado,85,Portland,63
2015-11-20,Michigan,70,Xavier,86
2015-11-20,BYU,97,Adams St.,56
2015-11-20,Auburn,92,Ga. Southern,62
2015-11-20,Virginia,87,Long Beach St.,52
2015-11-20,Montana St.,81,San Jose St.,69
2015-11-20,Sacramento St.,96,Holy Names,56
2015-11-20,Washington St.,85,Idaho St.,67
2015-11-20,California,70,East Carolina,62
2015-11-20,Oregon,77,Savannah St.,59
2015-11-21,Old Dominion,39,Purdue,61
2015-11-21,Louisville,89,North Florida,61
2015-11-21,Wofford,73,Md.-East. Shore,63
2015-11-21,UConn,83,Furman,58
2015-11-21,Western Ky.,67,Stony Brook,66
2015-11-21,IUPUI,86,Kentucky St.,82
2015-11-21,Davidson,82,Col. of Charleston,81
2015-11-21,Lipscomb,67,Northeastern,79
2015-11-21,Evansville,93,Belmont,88
2015-11-21,S.C. Upstate,79,Bob Jones,83
2015-11-21,TCU,67,South Dakota St.,76
2015-11-21,UNI,71,North Carolina,67
2015-11-21,Dayton,69,William &amp; Mary,66
2015-11-21,Eastern Ky.,92,South Carolina St.,82
2015-11-21,Liberty,86,Central Penn,50
2015-11-21,Fordham,85,Fairleigh Dickinson,62
2015-11-21,Sam Houston St.,81,Southern Ill.,86
